aX,aY,aZ,gX,gY,gZ
0.156,0.721,-0.823,25.696,-38.757,39.001
0.202,0.693,-0.717,29.968,-42.969,41.748
0.205,0.697,-0.664,29.114,-42.725,45.471
0.171,0.714,-0.675,24.963,-40.405,49.561
0.187,0.724,-0.716,24.597,-38.818,51.819
0.191,0.678,-0.777,27.588,-38.818,52.673
0.183,0.600,-0.860,35.156,-41.382,56.091
0.192,0.578,-0.899,48.157,-48.157,63.354
0.154,0.673,-0.890,62.500,-57.861,72.449
0.061,0.889,-0.864,74.036,-68.298,77.820
0.068,1.021,-0.730,72.998,-81.848,74.646
-0.224,1.200,-0.723,56.824,-94.727,64.697
-0.176,1.349,-0.785,29.785,-110.413,51.636
-0.298,1.438,-0.787,13.672,-131.409,28.442
-0.424,1.465,-0.767,2.686,-151.184,3.174
-0.433,1.505,-0.667,0.854,-168.152,-20.996
-0.417,1.516,-0.526,7.019,-176.819,-48.767
-0.406,1.491,-0.458,20.081,-169.556,-78.064
-0.458,1.462,-0.306,30.151,-158.813,-106.262
-0.464,1.493,-0.185,46.692,-136.902,-132.263
-0.490,1.470,-0.066,69.397,-102.783,-161.011
-0.366,1.145,-0.057,102.356,-59.692,-197.815
-0.283,1.203,-0.015,130.005,-11.536,-230.835
-0.316,1.246,0.235,145.264,40.466,-261.780
-0.365,1.074,0.481,152.832,98.694,-297.058
-0.392,0.921,0.690,136.597,159.912,-331.299
-0.427,0.757,0.942,98.450,223.022,-364.136
-0.514,0.459,1.033,33.264,282.288,-395.325
-0.624,0.159,0.882,-39.551,333.374,-419.128
-0.761,-0.184,0.529,-107.910,374.512,-431.519
-0.804,-0.423,0.235,-146.484,400.696,-432.068
-0.848,-0.590,0.083,-159.424,416.687,-425.781
-0.927,-0.860,-0.071,-181.274,429.260,-415.466
-0.883,-1.046,-0.397,-192.444,441.406,-400.635
-0.566,-1.062,-0.911,-189.941,445.190,-382.385
-0.113,-1.286,-1.436,-165.161,431.152,-377.686
0.359,-1.566,-2.031,-119.141,392.639,-367.798
0.863,-1.791,-2.393,-68.787,331.299,-321.777
1.208,-2.211,-2.409,-34.912,248.718,-236.023
1.471,-2.541,-1.976,-14.404,164.734,-128.967
1.625,-2.475,-1.399,13.000,119.690,-12.207
1.323,-2.313,-1.263,28.687,126.038,101.990
0.973,-2.017,-1.472,24.109,144.897,209.900
0.552,-1.794,-1.843,4.761,143.860,302.124
0.259,-1.560,-1.976,-2.014,119.934,380.249
0.058,-1.499,-2.170,1.770,85.144,448.364
-0.204,-1.617,-2.246,16.907,50.232,513.306
-0.542,-1.604,-2.042,50.598,17.395,584.412
-1.107,-1.369,-1.803,77.454,-8.484,660.645
-1.751,-0.725,-1.969,78.247,-34.546,727.234
-2.230,-0.023,-2.285,48.950,-80.200,761.108
-2.624,0.723,-2.601,6.897,-141.541,762.085
-2.833,1.344,-2.796,-20.203,-226.379,727.966
-2.775,1.805,-2.846,-20.508,-319.763,656.311
-2.696,2.095,-2.682,15.625,-406.799,557.312
-2.595,2.175,-2.354,58.838,-477.539,443.481
-2.549,2.120,-1.906,107.300,-520.935,316.711
-2.268,2.049,-1.362,155.273,-535.706,175.781
-1.933,1.822,-0.792,201.599,-514.648,21.973
-1.558,1.552,-0.279,238.098,-455.444,-128.662
-1.156,1.244,0.119,273.499,-358.337,-258.179
-0.891,0.875,0.229,309.326,-234.802,-359.253
-0.511,0.636,0.516,342.102,-111.206,-432.495
-0.477,0.321,0.733,355.103,7.324,-483.826
-0.424,0.103,1.118,333.374,124.084,-520.996
-0.279,-0.157,1.525,280.151,229.248,-549.805
-0.277,-0.309,1.558,191.589,319.275,-562.988
-0.459,-0.749,1.072,96.619,385.742,-570.190
-0.635,-1.189,0.569,15.320,423.767,-546.021
-0.961,-1.326,0.158,-37.048,442.261,-501.465
-1.091,-1.547,-0.200,-71.472,456.726,-469.482
-0.708,-1.684,-0.669,-116.516,463.196,-453.796
-0.253,-1.785,-1.292,-149.048,447.510,-449.585
0.292,-2.070,-1.778,-133.850,397.888,-436.279
0.726,-2.295,-1.980,-89.233,323.425,-378.357
0.883,-2.270,-1.931,-57.007,249.695,-268.127
0.984,-2.211,-2.010,-47.363,196.716,-153.748
1.132,-2.381,-2.178,-42.969,156.128,-67.200
1.179,-2.415,-2.149,-23.926,119.324,14.282
1.016,-2.188,-1.966,1.892,94.360,111.755
0.780,-1.870,-1.871,21.179,86.609,206.848
0.560,-1.508,-1.859,27.527,85.815,285.217
0.273,-1.459,-2.022,8.911,75.134,354.187
0.123,-1.323,-2.215,-15.137,46.814,428.833
-0.111,-1.289,-2.430,-36.133,2.625,506.531
-0.453,-1.348,-2.514,-42.786,-52.063,585.205
-0.997,-1.242,-2.387,-31.555,-109.558,665.649
-1.682,-0.853,-2.099,-4.211,-157.349,736.938
-2.252,-0.188,-2.100,18.433,-190.796,784.363
-2.583,0.634,-2.298,26.855,-224.792,795.837
-2.663,1.251,-2.411,34.363,-275.696,760.071
