aX,aY,aZ,gX,gY,gZ
0.324,0.063,-0.993,-18.616,-71.777,-49.866
0.421,0.117,-0.865,-10.010,-66.711,-37.109
0.443,0.241,-0.781,-1.160,-56.213,-22.522
0.370,0.244,-0.746,-0.854,-37.292,-9.888
0.341,0.212,-0.813,0.122,-17.334,0.793
0.371,0.192,-0.914,10.071,0.854,7.812
0.407,0.192,-0.942,22.644,12.390,14.282
0.389,0.202,-0.932,24.963,13.916,21.912
0.379,0.157,-0.859,27.222,9.827,29.724
0.326,0.273,-0.939,20.630,2.136,36.987
0.243,0.461,-1.065,9.521,-10.071,40.100
0.241,0.542,-0.987,1.953,-28.625,30.579
0.311,0.466,-0.866,-4.944,-44.861,11.658
0.345,0.366,-0.851,-18.188,-54.138,-2.930
0.340,0.122,-0.837,-28.870,-61.279,-6.836
0.355,0.156,-0.922,-33.142,-69.580,-3.113
0.406,0.133,-0.872,-35.950,-75.745,6.531
0.426,0.143,-0.772,-41.626,-79.407,21.240
0.361,0.105,-0.703,-60.730,-75.684,34.973
0.182,-0.104,-0.680,-67.932,-66.101,43.457
0.169,0.134,-0.706,-43.457,-49.438,49.438
0.221,0.366,-0.762,-11.047,-27.527,46.753
0.353,0.475,-0.721,12.695,-5.615,33.264
0.366,0.586,-0.633,31.067,16.418,13.367
0.323,0.515,-0.704,49.622,42.053,-8.545
0.351,0.548,-0.786,57.861,66.895,-24.658
0.412,0.551,-0.846,78.247,89.844,-35.461
0.471,0.604,-0.924,104.370,112.305,-42.603
0.525,0.550,-1.005,119.324,134.949,-49.072
0.613,0.456,-1.164,119.995,154.907,-55.603
0.701,0.446,-1.341,109.436,164.795,-60.181
0.734,0.526,-1.630,84.778,161.804,-65.735
0.705,0.612,-1.981,42.969,143.066,-76.233
0.662,0.519,-2.359,-7.019,105.530,-92.834
0.615,0.339,-2.733,-45.837,50.659,-109.009
0.641,0.219,-2.850,-58.411,-13.245,-121.582
0.722,0.104,-2.848,-59.570,-76.904,-129.822
0.805,-0.058,-2.894,-54.871,-132.568,-133.789
0.893,-0.225,-2.889,-41.687,-178.894,-130.127
0.893,-0.302,-2.761,-17.395,-219.604,-117.859
