aX,aY,aZ,gX,gY,gZ
0.741,-0.177,-1.050,-11.658,-22.400,-20.508
0.796,-0.268,-0.893,-7.263,-29.175,-9.155
0.741,-0.202,-0.790,0.610,-29.480,0.305
0.671,-0.146,-0.724,1.526,-24.597,5.432
0.648,-0.127,-0.757,0.671,-17.151,5.188
0.646,-0.149,-0.796,4.272,-11.169,1.282
0.647,-0.192,-0.765,15.320,-7.629,-2.197
0.657,-0.234,-0.733,30.640,-3.723,-2.808
0.650,-0.305,-0.642,46.082,1.343,0.122
0.614,-0.306,-0.501,59.204,7.996,7.446
0.570,-0.231,-0.400,60.547,17.151,18.311
0.506,-0.148,-0.420,48.096,27.588,28.076
0.464,-0.083,-0.489,35.217,35.889,33.020
0.411,-0.049,-0.514,31.189,40.771,31.860
0.351,-0.048,-0.494,34.790,44.067,26.917
0.370,-0.041,-0.369,40.405,47.485,21.545
0.265,-0.068,-0.361,41.443,52.673,17.517
0.234,-0.118,-0.292,43.030,60.059,15.808
0.223,-0.136,-0.244,40.161,67.139,17.822
0.196,-0.154,-0.210,31.067,73.486,22.522
0.169,-0.159,-0.166,18.860,77.576,29.114
0.144,-0.081,-0.128,5.554,80.383,36.377
0.091,0.025,-0.092,-6.226,83.618,40.833
0.036,0.123,-0.066,-18.799,88.318,40.771
-0.010,0.199,-0.055,-31.250,95.215,35.339
-0.049,0.235,-0.075,-42.053,104.248,24.719
-0.075,0.217,-0.109,-48.828,114.502,10.498
-0.073,0.161,-0.172,-50.354,125.305,-3.479
-0.019,0.023,-0.263,-49.500,135.254,-14.343
0.055,-0.129,-0.338,-45.288,143.311,-18.433
0.086,-0.183,-0.387,-35.706,150.452,-11.902
0.084,-0.189,-0.413,-27.832,156.677,3.235
0.050,-0.137,-0.478,-25.635,161.438,22.156
0.015,-0.066,-0.602,-28.809,164.185,37.598
-0.003,-0.030,-0.727,-33.997,163.452,44.678
-0.025,-0.027,-0.824,-36.682,160.217,44.922
-0.049,-0.061,-0.947,-37.964,157.471,41.870
-0.027,-0.104,-1.067,-35.278,157.043,39.307
-0.003,-0.165,-1.214,-27.588,159.180,40.833
0.013,-0.182,-1.351,-13.611,162.476,45.776
0.016,-0.145,-1.419,6.165,163.757,51.819
0.002,-0.071,-1.430,24.475,162.231,58.716
-0.031,0.008,-1.445,34.607,158.875,66.589
-0.064,0.089,-1.506,36.377,154.541,73.547
-0.095,0.175,-1.571,34.729,148.376,77.637
-0.141,0.263,-1.646,33.020,140.381,77.637
-0.171,0.331,-1.730,30.518,130.188,74.463
-0.178,0.359,-1.783,27.527,118.408,68.298
-0.172,0.357,-1.827,24.414,105.652,60.913
-0.153,0.325,-1.903,20.386,94.299,53.345
-0.118,0.282,-2.010,18.555,85.022,46.997
-0.074,0.264,-2.099,21.118,76.477,42.419
-0.033,0.217,-2.173,24.719,68.359,39.185
0.028,0.123,-2.212,23.804,63.049,40.710
-0.016,0.058,-2.470,27.100,64.209,46.082
-0.030,0.178,-2.551,53.955,52.734,44.617
-0.051,0.186,-2.499,69.458,30.151,38.574
-0.071,0.132,-2.432,68.604,6.409,34.424
-0.086,0.095,-2.377,62.195,-15.442,34.424
-0.096,0.083,-2.353,52.856,-36.560,37.598
-0.114,0.079,-2.314,46.143,-57.556,41.626
-0.146,0.068,-2.212,44.189,-78.003,45.471
-0.176,0.060,-2.081,45.166,-95.459,48.218
-0.197,0.056,-1.951,45.959,-107.910,49.866
-0.226,0.061,-1.842,47.058,-115.906,50.903
-0.262,0.009,-1.831,47.058,-120.850,51.514
-0.236,0.028,-1.789,51.636,-126.343,52.612
-0.283,0.006,-1.706,56.519,-132.202,54.321
-0.303,0.031,-1.636,62.378,-135.437,55.969
-0.307,0.071,-1.572,68.542,-139.343,55.542
-0.312,0.058,-1.491,70.129,-143.555,52.307
-0.301,0.057,-1.400,70.984,-148.193,48.584
-0.282,0.047,-1.341,69.092,-152.954,45.776
-0.258,0.027,-1.292,66.406,-158.081,44.983
-0.247,0.019,-1.231,66.101,-163.879,46.082
-0.238,0.029,-1.146,67.200,-169.861,48.096
-0.219,0.030,-1.089,65.063,-174.622,50.659
-0.189,0.034,-1.047,60.547,-178.833,53.894
-0.165,0.042,-1.001,58.716,-182.556,58.472
-0.155,0.043,-0.926,60.364,-185.059,63.477
-0.150,0.063,-0.849,61.707,-184.814,68.054
-0.140,0.100,-0.821,61.218,-182.434,72.327
-0.121,0.138,-0.810,60.181,-179.565,74.890
-0.109,0.171,-0.779,59.814,-177.368,75.745
-0.098,0.200,-0.736,61.523,-175.537,75.806
-0.089,0.214,-0.667,63.171,-174.072,75.195
-0.073,0.228,-0.601,62.378,-172.791,75.012
-0.046,0.253,-0.537,59.875,-172.058,76.050
-0.022,0.260,-0.499,54.504,-171.448,78.186
-0.007,0.263,-0.455,47.302,-170.349,80.872
