aX,aY,aZ,gX,gY,gZ
0.214,0.420,-0.874,2.930,-2.686,-8.606
0.253,0.434,-0.812,-1.831,-4.028,-5.249
0.247,0.452,-0.816,-4.089,-4.150,-3.296
0.189,0.352,-0.914,-10.803,-2.563,-1.526
0.208,0.306,-0.998,-12.390,-5.066,2.686
0.236,0.386,-0.987,-9.705,-11.414,9.338
0.221,0.434,-0.946,-7.690,-17.456,13.367
0.216,0.473,-0.900,-4.517,-20.691,13.550
0.217,0.464,-0.855,-2.075,-20.203,12.268
0.227,0.387,-0.783,-2.014,-17.334,12.329
0.269,0.309,-0.754,-4.517,-12.573,15.991
0.304,0.273,-0.774,-11.108,-6.836,23.315
0.305,0.306,-0.944,-19.470,-3.601,34.180
0.295,0.497,-1.042,-20.935,-6.226,44.678
0.242,0.641,-1.008,-13.062,-11.597,47.302
0.198,0.646,-0.944,-1.099,-12.634,39.001
0.229,0.545,-0.957,11.414,-9.216,26.001
0.292,0.403,-0.936,22.461,-7.629,16.418
0.333,0.315,-0.901,31.067,-10.132,15.625
0.346,0.291,-0.861,28.870,-16.235,23.926
0.241,0.387,-0.927,18.433,-24.841,35.522
0.253,0.486,-0.808,-11.292,-38.208,45.166
0.047,0.375,-0.708,-43.945,-49.194,48.706
0.073,0.379,-0.560,-79.590,-53.345,54.688
0.513,0.790,-0.626,-105.164,-43.213,61.523
0.421,0.585,-0.803,-148.987,-19.958,45.288
0.205,0.224,-0.900,-152.954,5.554,22.827
0.117,0.165,-0.991,-97.778,25.696,14.404
0.125,0.069,-1.157,-43.701,43.457,16.785
0.239,0.098,-1.284,0.000,53.589,26.123
0.341,0.182,-1.339,28.076,54.932,36.560
0.389,0.243,-1.299,48.645,49.438,45.837
0.394,0.240,-1.223,62.744,39.368,57.373
0.383,0.205,-1.168,66.040,26.489,74.097
0.364,0.228,-1.099,63.660,13.062,93.933
0.322,0.370,-1.003,61.829,0.977,112.000
0.265,0.586,-0.892,58.838,-7.874,121.460
0.225,0.729,-0.805,49.805,-12.390,120.483
0.176,0.762,-0.764,36.133,-11.841,112.427
0.137,0.726,-0.777,25.940,-7.568,100.159
0.118,0.683,-0.833,19.409,-1.404,87.402
0.124,0.658,-0.906,18.188,5.127,76.721
0.138,0.651,-0.981,21.729,10.132,69.275
