aX,aY,aZ,gX,gY,gZ
0.341,-0.111,-0.992,3.174,-2.686,21.118
0.417,-0.051,-0.844,9.583,-2.502,26.672
0.338,0.027,-0.851,11.230,5.615,30.090
0.315,0.031,-0.873,10.498,12.817,27.588
0.316,0.038,-0.861,16.113,16.113,21.790
0.309,0.029,-0.865,22.400,18.738,15.137
0.304,0.031,-0.881,23.743,20.752,10.803
0.283,0.074,-0.923,19.531,20.996,8.545
0.255,0.127,-0.999,11.902,19.165,5.371
0.262,0.124,-1.050,5.310,14.038,-0.793
0.314,0.056,-1.068,2.319,7.507,-6.287
0.366,0.026,-1.091,1.221,2.563,-7.568
0.401,0.058,-1.154,-0.916,-1.038,-4.517
0.412,0.115,-1.131,-2.136,-5.798,-2.686
0.427,0.126,-1.128,-2.686,-9.644,-4.333
0.475,0.098,-1.129,1.160,-13.916,-8.789
0.524,0.050,-1.185,5.920,-19.043,-13.733
0.583,-0.142,-1.216,8.362,-22.034,-15.625
0.608,-0.344,-1.322,14.893,-24.597,-11.169
0.711,-0.450,-1.363,21.240,-31.250,-0.122
0.748,-0.504,-1.352,26.978,-37.964,14.954
0.718,-0.476,-1.345,31.677,-45.349,32.959
0.680,-0.438,-1.263,25.940,-54.932,50.964
0.637,-0.442,-1.191,9.827,-60.791,63.904
0.565,-0.464,-1.129,-1.587,-60.242,70.251
0.502,-0.432,-1.056,-4.761,-52.490,69.824
0.437,-0.406,-0.968,-1.587,-39.368,62.134
0.377,-0.398,-0.869,2.625,-23.010,49.500
0.327,-0.378,-0.775,6.714,-5.554,35.889
0.269,-0.346,-0.683,8.240,11.780,22.827
0.237,-0.346,-0.612,4.333,27.344,11.108
0.223,-0.372,-0.572,-5.981,38.086,2.136
0.208,-0.396,-0.563,-20.142,42.603,-2.380
0.188,-0.438,-0.578,-32.410,39.124,-1.404
0.225,-0.447,-0.553,-38.330,26.672,8.423
0.224,-0.450,-0.468,-47.546,10.986,26.917
0.107,-0.460,-0.398,-65.369,2.747,41.565
0.018,-0.403,-0.393,-79.590,5.859,46.692
-0.023,-0.327,-0.414,-84.290,15.564,45.105
-0.070,-0.273,-0.404,-82.031,25.940,39.978
-0.106,-0.228,-0.383,-76.965,36.316,34.241
-0.111,-0.198,-0.372,-72.449,45.898,29.785
-0.117,-0.185,-0.374,-70.313,54.077,27.466
-0.116,-0.183,-0.358,-69.092,60.059,27.100
