aX,aY,aZ,gX,gY,gZ
0.292,0.211,-1.092,0.366,-7.874,13.000
0.331,0.325,-0.874,1.892,-13.367,14.038
0.299,0.270,-0.830,0.732,-14.893,14.038
0.300,0.203,-0.837,-5.249,-13.916,16.174
0.313,0.189,-0.841,-6.958,-13.489,20.203
0.323,0.167,-0.847,-6.226,-12.939,25.818
0.323,0.245,-0.796,-2.930,-11.475,32.776
0.299,0.301,-0.754,-0.122,-7.935,37.109
0.290,0.316,-0.809,0.488,-3.235,38.330
0.308,0.325,-0.920,0.854,-1.343,39.246
0.325,0.316,-0.990,5.493,-4.150,40.833
0.336,0.346,-1.019,9.399,-10.376,43.396
0.329,0.429,-1.039,7.507,-19.592,46.753
0.303,0.492,-0.962,0.183,-30.334,48.096
0.346,0.504,-0.921,-11.597,-38.269,46.814
0.382,0.488,-0.978,-27.344,-42.175,46.509
0.364,0.453,-1.014,-42.969,-46.326,47.729
0.444,0.464,-0.967,-56.152,-51.575,47.607
0.445,0.422,-1.104,-76.782,-55.908,47.974
0.413,0.256,-0.994,-116.516,-68.359,54.321
0.432,0.346,-0.853,-171.997,-77.393,67.688
0.625,0.337,-1.017,-219.116,-77.393,83.374
0.649,-0.210,-1.254,-260.010,-73.914,100.525
0.734,0.026,-1.469,-357.971,-78.491,134.827
0.622,-0.152,-1.615,-463.257,-88.196,173.279
0.354,-0.054,-1.690,-490.173,-86.304,205.627
0.343,-0.382,-1.468,-446.960,-58.960,208.740
0.389,-0.495,-1.531,-440.308,-25.879,191.223
0.646,-0.477,-2.227,-355.164,6.042,150.940
0.929,-0.820,-2.132,-230.164,20.264,102.966
0.892,-1.066,-1.780,-101.685,23.376,79.407
0.754,-1.064,-1.573,-24.597,30.151,65.552
0.630,-1.061,-1.471,-16.907,35.461,61.768
0.513,-1.160,-1.499,-44.922,37.415,74.890
0.384,-1.253,-1.650,-89.417,35.645,107.483
0.261,-1.359,-1.786,-128.052,30.518,152.222
0.198,-1.575,-1.756,-144.287,20.325,199.158
0.102,-1.658,-1.657,-135.193,3.967,240.662
0.125,-1.384,-1.255,-102.844,-18.311,270.264
-0.084,-1.663,-1.643,-43.518,-32.776,274.292
-0.413,-1.521,-1.515,52.612,-80.078,288.879
-0.715,-1.242,-1.227,148.193,-156.738,322.266
-0.824,-0.897,-0.949,201.965,-230.103,360.718
-0.951,-0.760,-0.675,209.900,-278.564,394.958
-0.986,-0.548,-0.489,203.979,-307.617,427.795
-0.961,-0.316,-0.245,203.064,-325.989,458.069
-1.000,0.184,-0.132,207.886,-337.341,477.661
-1.000,0.603,0.030,224.365,-345.215,476.135
-0.862,0.795,0.238,240.967,-350.281,450.623
-0.711,0.944,0.409,245.361,-349.670,413.940
-0.603,1.309,0.609,236.145,-335.754,386.536
-0.460,1.609,0.812,208.130,-299.072,374.878
-0.392,1.674,0.850,152.039,-235.779,377.258
-0.556,1.622,0.497,91.675,-155.396,385.376
-0.525,1.566,0.444,65.979,-93.872,375.427
-0.639,1.404,0.416,68.481,-48.706,349.060
-0.730,1.382,0.301,81.848,-5.127,324.402
-0.811,1.431,0.056,95.154,25.269,303.223
-0.878,1.541,-0.030,103.027,39.734,284.790
-0.975,1.513,-0.056,101.990,40.649,267.273
-1.017,1.532,0.003,92.957,38.086,251.709
-1.182,1.632,0.031,82.642,33.447,235.657
-1.218,1.776,0.073,66.223,19.165,213.013
-1.281,1.808,0.100,46.875,5.371,190.552
-1.385,1.957,0.290,26.733,-3.296,176.392
-1.587,2.142,0.351,4.883,2.563,169.556
-1.791,2.409,0.282,-19.165,13.977,158.691
-1.926,2.671,0.171,-51.392,14.404,138.916
-2.086,2.944,0.053,-86.792,1.770,113.647
-2.259,3.221,-0.045,-116.760,-18.250,84.595
-2.496,3.470,-0.115,-145.630,-41.626,46.082
-2.718,3.643,-0.201,-174.194,-69.519,-4.517
-2.971,3.739,-0.196,-196.411,-106.384,-69.702
-3.219,3.841,-0.167,-212.830,-153.931,-148.437
-3.449,3.781,-0.063,-227.295,-201.843,-238.403
-3.666,3.461,0.061,-236.816,-233.337,-334.900
-3.897,3.117,0.148,-239.075,-250.793,-433.289
-4.000,2.826,0.183,-241.455,-269.653,-536.804
-4.000,2.291,0.264,-255.859,-305.908,-643.005
-4.000,1.487,0.563,-270.691,-359.192,-736.450
-4.000,0.651,1.265,-282.349,-419.006,-805.359
-4.000,-0.273,2.115,-313.477,-478.882,-851.501
-4.000,-1.523,3.021,-367.065,-534.790,-880.493
-4.000,-3.412,3.988,-415.894,-571.838,-895.447
-4.000,-4.000,4.000,-392.090,-562.622,-902.527
-3.908,-4.000,4.000,-285.828,-499.817,-862.915
-3.010,-4.000,4.000,-168.884,-408.936,-772.034
-2.486,-4.000,4.000,-64.819,-322.449,-668.396
-2.042,-4.000,4.000,-34.546,-256.592,-590.759
-1.032,-4.000,4.000,-100.525,-221.558,-536.316
0.431,-4.000,3.901,-207.886,-211.365,-464.600
1.483,-4.000,3.399,-283.386,-179.565,-343.201
1.594,-4.000,2.373,-294.373,-96.680,-196.960
1.026,-3.488,0.920,-265.991,15.442,-74.707
0.513,-2.966,-0.574,-229.553,103.577,-2.502
0.217,-2.675,-1.509,-174.927,124.634,36.804
0.124,-2.257,-1.597,-94.238,79.590,63.110
0.160,-1.679,-0.886,-7.446,5.249,74.341
0.252,-1.097,0.029,64.026,-51.086,66.101
0.384,-0.678,0.743,113.281,-65.491,41.931
0.502,-0.440,1.096,140.808,-44.617,12.512
0.588,-0.325,1.147,149.109,-12.085,-11.719
0.665,-0.315,1.005,138.062,13.489,-26.489
0.708,-0.376,0.808,109.314,26.855,-27.100
0.699,-0.463,0.581,71.106,29.419,-14.709
0.636,-0.564,0.355,31.128,24.780,2.747
0.590,-0.661,0.163,-4.761,13.916,19.348
0.588,-0.714,0.063,-30.151,-1.648,31.189
0.556,-0.717,0.084,-39.612,-17.212,37.903
0.520,-0.693,0.124,-40.771,-27.710,39.490
0.543,-0.666,0.155,-37.476,-32.227,34.973
0.605,-0.648,0.221,-28.381,-34.607,24.048
0.675,-0.677,0.318,-13.916,-35.767,9.033
0.724,-0.744,0.383,1.343,-32.837,-5.188
0.778,-0.814,0.404,12.329,-25.696,-15.503
0.830,-0.868,0.385,19.714,-17.090,-20.752
0.841,-0.888,0.380,25.452,-9.644,-19.348
0.797,-0.853,0.380,28.564,-3.845,-12.878
0.756,-0.804,0.372,24.780,0.488,-4.456
0.709,-0.787,0.328,15.015,2.930,2.991
0.685,-0.781,0.286,2.075,2.563,9.033
0.673,-0.784,0.248,-10.559,0.427,13.245
0.669,-0.782,0.208,-19.287,-1.343,15.808
0.666,-0.771,0.195,-25.146,-2.319,17.151
0.654,-0.773,0.174,-26.306,-2.930,17.456
0.642,-0.783,0.170,-26.978,-3.357,18.066
0.654,-0.804,0.169,-28.137,-4.028,18.555
0.678,-0.813,0.182,-26.489,-4.944,19.226
0.689,-0.793,0.198,-22.461,-5.188,20.203
0.686,-0.784,0.207,-19.043,-4.578,20.630
0.688,-0.765,0.205,-16.541,-3.540,21.301
0.689,-0.730,0.223,-13.672,-3.174,21.851
0.683,-0.697,0.242,-11.536,-2.441,21.423
0.677,-0.678,0.239,-10.376,-0.183,20.935
0.674,-0.675,0.213,-9.338,2.563,20.386
0.665,-0.667,0.193,-7.141,4.761,20.203
0.649,-0.638,0.201,-3.296,6.226,19.226
0.649,-0.616,0.189,2.563,8.240,16.846
0.647,-0.606,0.154,7.324,11.536,13.184
0.638,-0.612,0.117,10.742,13.977,9.644
0.633,-0.618,0.083,13.306,14.465,5.920
0.643,-0.639,0.070,14.038,12.451,3.357
0.658,-0.662,0.075,14.771,9.033,2.136
0.677,-0.671,0.094,16.174,5.554,2.625
0.696,-0.679,0.126,15.503,2.625,3.906
0.712,-0.696,0.151,13.855,1.099,6.531
0.727,-0.696,0.157,11.658,0.854,10.559
0.743,-0.697,0.173,8.301,0.854,15.442
0.737,-0.692,0.182,5.737,1.099,19.897

0.804,-0.112,0.747,83.618,-55.359,49.438
0.764,0.026,0.740,93.018,-48.584,62.866
0.722,0.097,0.747,91.431,-45.410,70.496
0.705,0.147,0.723,86.121,-43.823,70.618
0.679,0.164,0.616,77.026,-44.678,67.383
0.656,0.192,0.537,68.359,-50.781,61.218
0.636,0.218,0.717,62.866,-60.669,51.453
0.668,0.189,0.827,49.255,-66.101,39.612
0.670,0.098,0.782,27.710,-67.017,31.921
0.672,0.060,0.747,15.198,-66.345,29.907
0.684,0.054,0.782,14.160,-63.477,30.701
0.681,0.069,0.848,15.015,-57.617,32.837
0.677,0.112,0.880,12.878,-49.561,34.851
0.682,0.163,0.864,9.155,-39.551,34.912
0.678,0.223,0.839,6.958,-28.687,32.471
0.679,0.271,0.812,7.751,-18.921,27.405
0.677,0.284,0.732,10.925,-10.620,19.531
0.589,0.084,0.415,13.184,-6.287,12.634
0.566,-0.119,0.191,26.245,-18.066,13.367
0.580,0.040,0.170,41.199,-49.194,23.987
0.593,0.129,0.330,54.871,-87.585,33.752
0.515,0.257,0.584,62.927,-120.728,35.889
0.420,0.319,0.732,61.707,-143.311,31.555
0.350,0.280,0.828,57.739,-157.593,20.081
0.300,0.183,0.899,63.416,-168.823,7.080
0.164,0.065,1.025,73.547,-179.993,-2.563
0.104,0.036,1.357,82.397,-189.453,-3.784
0.044,0.009,1.848,95.154,-187.561,-0.610
0.007,0.038,2.396,106.873,-164.307,3.418
-0.100,-0.090,2.646,113.220,-115.784,4.822
-0.171,-0.247,2.686,125.000,-55.969,9.949
-0.238,-0.302,2.777,151.306,-3.174,21.484
-0.326,-0.310,2.940,177.429,41.138,33.691
-0.413,-0.345,3.063,190.002,83.740,41.077
-0.483,-0.415,3.110,189.758,125.977,43.945
-0.549,-0.518,3.121,182.190,165.161,42.664
-0.607,-0.694,3.114,168.457,197.510,39.246
-0.579,-0.876,3.147,147.644,222.473,35.034
-0.526,-1.116,3.219,119.690,241.455,31.494
-0.549,-1.383,3.378,86.609,260.620,34.912
-0.585,-1.641,3.520,51.025,289.124,48.523
-0.680,-1.816,3.609,20.508,332.031,67.932
-0.835,-1.883,3.488,0.854,393.372,89.233
-1.058,-1.918,3.095,-12.756,470.032,113.770
-1.255,-1.897,2.526,-21.057,545.471,143.433
-1.437,-1.807,1.999,-20.630,607.117,173.279
-1.620,-1.707,1.491,-17.456,652.344,200.867
-1.746,-1.688,0.894,-31.311,681.824,228.638
-1.914,-1.706,0.302,-66.101,688.110,260.620
-2.236,-1.844,-0.276,-119.507,668.335,306.946
-2.800,-2.070,-0.650,-192.444,633.484,372.253
-3.727,-2.190,-0.980,-266.479,603.394,451.965
-4.000,-2.059,-1.602,-339.966,592.651,525.208
-4.000,-1.502,-2.392,-421.509,592.224,561.401
-4.000,-0.862,-3.382,-529.480,577.820,535.156
-4.000,-0.646,-4.000,-695.740,526.367,437.744
-4.000,-0.870,-4.000,-859.741,407.593,279.297
-2.825,-1.074,-4.000,-883.789,237.244,109.558
-0.935,-0.992,-4.000,-683.472,105.225,-14.282
0.149,-0.732,-3.877,-359.192,104.614,-38.330
0.307,-0.139,-3.690,-68.542,220.459,33.020
0.037,0.745,-4.000,150.330,323.608,108.521
-0.244,1.768,-4.000,280.396,288.940,108.765
0.117,1.251,-2.824,259.644,121.155,44.128
0.117,0.613,-2.234,151.428,26.062,5.920
0.064,0.524,-1.679,84.167,-27.100,-2.991
-0.020,0.283,-1.420,27.405,-59.265,-24.170
0.097,0.028,-1.168,-16.541,-84.656,-47.607
0.287,-0.205,-0.816,-31.738,-102.600,-65.002
0.445,-0.397,-0.507,-30.151,-99.976,-65.857
0.494,-0.422,-0.372,-18.494,-77.148,-50.232
0.464,-0.352,-0.376,-3.601,-47.180,-30.457
0.410,-0.316,-0.420,6.165,-23.010,-16.724
0.406,-0.277,-0.500,7.507,-7.324,-10.193
0.434,-0.228,-0.661,-3.296,2.502,-7.690
0.471,-0.171,-0.853,-20.935,7.446,-5.859
0.484,-0.102,-1.037,-35.645,7.690,-2.747
0.466,-0.049,-1.175,-42.603,5.127,1.099
0.433,-0.018,-1.227,-40.344,0.916,3.052
0.425,-0.001,-1.210,-31.128,-2.808,2.441
0.429,0.001,-1.202,-17.883,-3.418,1.343
0.433,0.006,-1.164,-2.686,-2.563,0.671
0.415,0.028,-1.096,12.634,-1.282,0.122
0.377,0.052,-1.049,21.362,-0.366,-1.526
0.362,0.079,-0.995,25.146,-0.732,-4.211
0.364,0.067,-0.934,25.574,-1.892,-8.667
0.385,0.048,-0.906,21.545,-3.357,-12.329
0.400,0.025,-0.929,12.268,-5.127,-13.550
0.411,0.005,-0.954,2.502,-8.911,-14.221
0.414,-0.006,-0.971,-5.981,-14.160,-14.038
0.418,-0.024,-0.984,-12.451,-19.348,-13.611
0.412,-0.027,-0.973,-14.893,-23.621,-13.184
0.403,-0.023,-0.938,-14.587,-26.489,-12.939
0.398,-0.024,-0.907,-12.634,-27.222,-13.672
0.406,-0.043,-0.887,-10.315,-26.489,-15.015
0.423,-0.057,-0.883,-7.690,-24.414,-15.381
0.434,-0.078,-0.860,-2.991,-21.912,-15.503
0.443,-0.077,-0.816,2.930,-18.677,-15.198
0.456,-0.074,-0.807,6.470,-14.099,-14.282
0.461,-0.067,-0.819,8.667,-10.071,-13.245
0.454,-0.054,-0.812,9.766,-8.301,-12.817
0.458,-0.029,-0.794,9.827,-8.179,-12.512
0.468,-0.023,-0.811,7.263,-8.057,-13.672
0.490,-0.047,-0.850,3.418,-8.545,-14.954
0.510,-0.075,-0.867,1.770,-10.437,-15.076
0.533,-0.104,-0.874,1.038,-12.878,-13.550
0.550,-0.124,-0.879,-0.305,-14.587,-10.132
0.550,-0.128,-0.883,-0.793,-15.747,-5.554
0.530,-0.114,-0.882,-1.343,-16.724,-0.854
0.498,-0.081,-0.865,-2.502,-17.761,3.723
0.466,-0.034,-0.850,-3.174,-17.883,6.409
0.438,0.005,-0.851,-3.174,-16.663,5.798
0.420,0.025,-0.836,-0.854,-14.954,3.113
0.407,0.037,-0.813,4.150,-13.184,-1.526
0.413,0.043,-0.811,7.812,-10.803,-6.592
0.439,0.025,-0.838,9.399,-9.338,-12.512
0.473,-0.011,-0.849,10.620,-9.888,-17.578
0.501,-0.039,-0.830,11.169,-11.597,-20.569
0.522,-0.082,-0.842,9.521,-12.756,-20.752
0.543,-0.115,-0.871,5.554,-14.038,-18.555
0.549,-0.129,-0.885,2.136,-16.479,-14.709
0.541,-0.132,-0.877,0.183,-19.348,-10.010
0.531,-0.121,-0.852,-0.427,-21.240,-5.920
0.519,-0.113,-0.818,-0.732,-21.484,-3.296
0.503,-0.096,-0.788,-0.122,-20.203,-0.854
0.497,-0.076,-0.792,-1.404,-17.822,0.671
0.490,-0.057,-0.819,-3.845,-15.625,1.343
0.488,-0.031,-0.858,-6.470,-15.015,1.038
0.488,-0.011,-0.886,-8.423,-15.991,-1.038
0.489,-0.006,-0.896,-9.277,-17.822,-3.906
0.493,-0.027,-0.882,-8.057,-19.470,-6.348
0.510,-0.055,-0.851,-4.089,-19.775,-9.338
0.542,-0.083,-0.819,0.061,-18.555,-11.597
0.562,-0.116,-0.803,2.625,-16.418,-12.451
0.572,-0.145,-0.791,2.869,-14.709,-11.169
0.585,-0.151,-0.794,1.038,-13.428,-8.362
0.595,-0.154,-0.815,-1.404,-12.268,-5.493
0.588,-0.153,-0.836,-3.662,-11.719,-2.747
0.581,-0.128,-0.845,-5.798,-12.451,0.793
0.575,-0.096,-0.852,-7.812,-13.306,4.272
0.565,-0.074,-0.840,-8.484,-13.855,6.165
0.550,-0.064,-0.819,-5.310,-13.794,6.592
0.533,-0.061,-0.799,-2.136,-12.878,5.981
0.528,-0.059,-0.794,-0.793,-11.658,4.700
0.533,-0.071,-0.810,-0.610,-10.742,2.625
0.552,-0.087,-0.832,-0.671,-10.864,1.099
0.576,-0.097,-0.849,-0.488,-12.085,0.671
0.585,-0.100,-0.860,-0.793,-13.916,2.258
0.580,-0.093,-0.877,-2.014,-16.235,5.615

0.500,-0.105,-0.572,35.034,-78.491,-46.631
0.517,-0.049,-0.466,28.320,-62.134,-31.738
0.443,0.047,-0.543,19.714,-44.434,-21.301
0.345,0.139,-0.679,9.766,-30.945,-16.785
0.304,0.246,-0.754,9.155,-24.292,-22.583
0.277,0.252,-0.778,10.071,-21.667,-37.781
0.314,0.161,-0.758,5.249,-22.400,-54.260
0.380,0.080,-0.721,-2.563,-26.306,-66.223
0.423,0.005,-0.672,-10.559,-29.724,-71.289
0.444,-0.066,-0.661,-13.794,-28.931,-70.374
0.471,-0.119,-0.687,-10.315,-23.560,-66.101
0.500,-0.145,-0.719,-2.869,-16.846,-59.143
0.487,-0.171,-0.715,4.333,-10.742,-50.354
0.500,-0.177,-0.725,9.521,-8.606,-40.466
0.492,-0.138,-0.735,8.911,-7.629,-30.396
0.459,-0.098,-0.743,3.540,-8.362,-21.851
0.436,-0.065,-0.736,-3.174,-10.132,-16.418
0.420,-0.023,-0.729,-9.460,-12.085,-14.771
0.399,0.021,-0.739,-15.869,-13.245,-18.555
0.336,0.014,-0.758,-23.376,-13.977,-26.855
0.368,0.007,-0.779,-26.672,-13.733,-39.185
0.429,-0.052,-0.787,-24.292,-11.963,-55.725
0.488,-0.077,-0.789,-21.301,-9.399,-72.998
0.476,-0.111,-0.782,-16.296,-5.676,-88.440
0.471,-0.120,-0.726,-7.019,0.305,-100.830
0.484,-0.074,-0.704,3.784,9.888,-110.291
0.479,-0.063,-0.694,10.925,21.179,-119.385
0.471,-0.068,-0.730,14.587,31.799,-128.845
0.458,-0.070,-0.774,16.846,39.856,-138.245
0.449,-0.100,-0.820,17.944,44.495,-147.400
0.472,-0.144,-0.847,15.930,45.288,-156.799
0.497,-0.209,-0.860,10.498,42.114,-165.649
0.533,-0.316,-0.906,0.732,36.377,-172.852
0.591,-0.438,-0.976,-16.052,26.367,-176.880
0.620,-0.519,-1.027,-34.912,10.925,-176.514
0.631,-0.588,-1.088,-50.049,-6.470,-172.119
0.689,-0.614,-1.074,-61.340,-22.400,-166.077
0.697,-0.774,-1.177,-70.862,-29.907,-162.048
0.744,-0.849,-1.271,-65.735,-35.278,-152.344
0.808,-0.849,-1.270,-49.744,-43.457,-135.864
0.825,-0.880,-1.278,-32.959,-45.959,-119.385
0.831,-0.891,-1.299,-13.794,-44.189,-106.018
0.824,-0.852,-1.318,4.700,-41.260,-94.360
0.807,-0.770,-1.325,20.569,-38.757,-84.595
0.764,-0.696,-1.365,32.898,-37.109,-78.186
0.763,-0.633,-1.399,39.795,-37.842,-75.562
0.764,-0.604,-1.432,44.739,-42.053,-76.782
0.778,-0.561,-1.409,48.462,-48.828,-81.238
0.742,-0.535,-1.375,50.171,-56.580,-88.745
0.676,-0.543,-1.340,44.556,-64.575,-99.121
0.639,-0.592,-1.350,27.710,-74.951,-111.633
0.659,-0.684,-1.301,1.221,-90.088,-126.892
0.571,-0.945,-1.421,-28.931,-103.394,-142.761
0.756,-0.939,-1.330,-58.411,-127.563,-147.888
0.784,-1.126,-1.244,-85.510,-157.593,-154.236
0.879,-1.270,-1.052,-106.262,-178.162,-162.903
0.891,-1.425,-0.989,-115.723,-182.129,-166.443
1.014,-1.385,-0.907,-118.103,-179.443,-156.128
1.060,-1.380,-0.861,-123.047,-174.316,-140.808
1.015,-1.433,-0.860,-128.723,-165.588,-126.831
1.002,-1.421,-0.860,-134.644,-158.386,-109.131
0.998,-1.421,-0.823,-139.832,-156.982,-87.769
0.857,-1.485,-0.880,-143.005,-156.799,-67.688
0.881,-1.462,-0.839,-148.682,-168.335,-40.527
0.789,-1.497,-0.747,-145.813,-181.091,-22.461
0.778,-1.516,-0.611,-135.376,-189.331,-7.507
0.755,-1.539,-0.494,-120.178,-190.308,10.864
0.739,-1.497,-0.322,-102.234,-187.683,37.598
0.688,-1.461,-0.172,-84.412,-180.237,65.369
0.621,-1.428,-0.030,-69.641,-166.260,89.294
0.563,-1.344,0.147,-55.115,-150.513,109.253
0.531,-1.252,0.300,-41.992,-133.179,125.061
0.499,-1.176,0.429,-33.264,-114.319,138.550
0.451,-1.113,0.554,-24.170,-94.238,152.344
0.357,-1.041,0.669,-15.076,-73.242,169.128
0.257,-0.967,0.737,-11.047,-51.392,187.683
0.165,-0.898,0.800,-8.850,-29.358,203.552
0.066,-0.844,0.844,-0.977,-7.263,213.684
-0.026,-0.808,0.910,16.663,13.794,218.933
-0.109,-0.811,1.013,42.236,35.156,220.032
-0.137,-0.833,1.124,71.472,57.678,218.750
-0.129,-0.884,1.230,99.670,82.275,215.210
-0.141,-0.972,1.306,117.981,108.215,212.891
-0.141,-1.079,1.307,118.591,134.766,218.018
-0.173,-1.137,1.299,94.299,160.461,237.610
-0.318,-1.213,1.181,41.626,185.608,274.597
-0.619,-1.243,0.979,-29.541,211.060,330.811
-1.067,-1.315,0.773,-112.854,238.525,402.405
-1.760,-1.367,0.327,-204.407,271.912,484.314
-2.610,-1.158,-0.261,-281.616,308.960,561.157
-3.436,-0.514,-0.980,-340.881,344.421,606.140
-3.988,0.130,-1.910,-394.409,364.258,595.337
-3.994,0.695,-2.727,-443.909,352.905,523.437
-3.414,0.854,-3.302,-477.478,305.420,400.513
-2.363,0.779,-3.472,-474.365,234.558,260.376
-1.131,0.603,-3.147,-396.240,166.321,139.648
-0.090,0.536,-2.473,-247.192,138.367,70.190
0.629,0.667,-2.087,-104.126,172.424,68.359
0.522,1.099,-3.062,-16.602,230.713,102.661
0.606,1.120,-2.843,29.480,189.209,116.455
0.351,0.596,-2.707,8.728,108.398,120.422
0.112,0.260,-2.388,17.822,46.021,119.812
-0.012,0.128,-1.665,72.998,-11.841,93.689
-0.051,0.123,-0.918,110.291,-44.373,54.443
-0.007,0.042,-0.396,109.863,-48.279,13.184
0.126,-0.044,-0.179,88.318,-33.875,-21.118
