aX,aY,aZ,gX,gY,gZ
0.157,-0.552,1.190,9.094,-73.669,-108.032
0.220,-0.545,0.936,3.967,-57.373,-96.802
0.133,-0.547,0.804,-8.362,-56.396,-100.525
0.138,-0.511,0.736,-24.536,-71.106,-99.487
0.168,-0.505,0.850,-32.227,-80.994,-97.961
0.301,-0.518,0.972,-35.034,-78.125,-85.144
0.388,-0.560,1.023,-43.518,-68.420,-61.096
0.396,-0.302,1.096,-53.955,-66.223,-39.795
0.280,-0.189,1.253,-49.744,-70.068,-31.555
0.224,-0.182,1.354,-43.091,-58.594,-34.851
0.293,-0.293,1.320,-42.969,-31.128,-37.598
0.365,-0.455,1.108,-46.021,-5.432,-32.043
0.396,-0.573,0.888,-48.279,-3.052,-11.780
0.437,0.150,1.194,-60.791,-22.217,32.532
0.538,-0.167,0.951,-29.236,-17.578,50.964
0.516,-0.403,0.724,16.174,20.569,7.080
0.594,-0.305,0.719,10.071,24.841,15.808
0.582,-0.384,0.778,35.461,10.559,44.739
0.396,-0.303,0.860,39.001,-4.761,63.477
0.365,-0.164,0.840,37.231,-18.494,51.941
0.371,-0.104,0.849,38.696,-19.592,26.489
0.388,-0.028,0.860,54.504,-16.357,4.517
0.421,-0.062,0.849,74.707,-11.047,-13.672
0.447,-0.151,0.884,92.529,-8.606,-34.973
0.479,-0.166,0.868,105.713,-6.775,-46.509
0.391,-0.173,0.847,110.535,-5.127,-48.706
0.434,-0.031,0.739,106.079,-11.841,-45.715
0.098,-0.127,0.935,95.581,-32.043,-50.232
0.063,-0.202,1.128,81.543,-36.621,-46.204
0.187,-0.143,1.105,41.565,-25.330,-37.537
0.221,-0.031,1.100,3.418,-20.996,-33.386
0.210,-0.029,1.180,-8.057,-23.743,-36.926
0.172,-0.087,1.254,-11.780,-22.583,-44.861
0.159,-0.126,1.311,-21.729,-14.954,-49.194
0.176,-0.138,1.324,-32.104,-4.089,-49.072
0.214,-0.103,1.256,-39.001,7.996,-47.363
0.234,-0.053,1.127,-39.429,19.287,-44.189
0.257,-0.045,0.996,-30.823,26.550,-40.161
0.287,-0.054,0.866,-18.311,27.832,-35.522
0.320,-0.054,0.763,-7.874,22.034,-30.273
0.315,-0.069,0.728,-1.343,8.728,-26.306
0.289,-0.092,0.745,1.343,-6.897,-23.499
0.254,-0.103,0.784,0.000,-21.179,-21.484
0.227,-0.090,0.828,-2.625,-30.762,-21.301
0.210,-0.072,0.875,-3.845,-36.743,-24.109
0.202,-0.081,0.933,-1.465,-39.429,-29.175
0.180,-0.083,0.967,2.869,-39.307,-34.180
0.161,-0.073,0.977,8.667,-37.598,-39.978
0.155,-0.107,0.977,18.250,-35.767,-48.157
0.157,-0.171,0.948,26.123,-32.898,-55.664
0.152,-0.222,0.939,27.954,-32.104,-58.228
0.154,-0.257,0.950,26.733,-33.997,-58.167
0.169,-0.305,0.969,27.039,-37.415,-58.105
0.199,-0.368,0.996,27.100,-39.429,-56.885
0.224,-0.420,1.030,25.146,-39.978,-54.565
0.234,-0.452,1.064,21.484,-39.063,-50.964
0.235,-0.492,1.097,18.433,-35.889,-46.204
0.239,-0.517,1.125,17.639,-29.907,-40.710
0.242,-0.533,1.147,18.616,-22.156,-34.851
0.261,-0.547,1.151,21.362,-13.184,-29.724
0.283,-0.585,1.148,26.489,-5.493,-25.818
0.298,-0.638,1.149,32.104,-0.916,-22.522
0.308,-0.681,1.166,35.889,0.488,-18.921
0.316,-0.717,1.188,38.330,2.136,-14.893
0.313,-0.746,1.201,39.368,6.531,-11.047
0.332,-0.756,1.191,39.246,11.475,-4.395
0.348,-0.757,1.138,39.551,14.709,2.991
0.361,-0.792,1.069,42.175,13.794,11.047
0.349,-0.843,1.051,41.748,7.019,18.738
0.319,-0.841,1.075,33.264,2.075,28.381
0.288,-0.790,1.095,21.179,3.540,39.673
0.282,-0.720,1.090,10.559,10.864,49.133
0.299,-0.634,1.052,2.502,18.982,55.603
0.318,-0.554,1.012,-2.747,22.278,60.059
0.331,-0.497,0.992,-5.249,19.470,63.721
0.317,-0.428,0.995,-7.812,15.564,67.017
0.286,-0.333,1.005,-5.676,15.930,70.068
0.269,-0.253,0.992,4.089,23.804,70.923
0.269,-0.207,0.932,16.846,35.217,69.824
0.285,-0.181,0.880,27.466,41.992,66.345
0.315,-0.189,0.820,37.109,41.504,60.547
0.332,-0.250,0.808,46.021,32.654,53.284
0.317,-0.307,0.824,44.250,22.766,46.753
0.309,-0.350,0.814,34.058,17.883,41.443
0.282,-0.409,0.778,23.315,14.099,37.781
0.248,-0.460,0.749,12.939,10.620,36.804
0.224,-0.464,0.708,1.587,9.766,41.077
0.207,-0.432,0.660,-8.728,9.888,49.683
0.169,-0.400,0.650,-17.944,6.409,59.448
0.093,-0.324,0.677,-27.832,-1.770,67.871
0.044,-0.233,0.732,-34.241,-11.047,72.693
0.043,-0.161,0.823,-32.104,-17.273,73.730
0.048,-0.139,0.944,-20.325,-19.226,69.031
0.051,-0.189,1.059,-3.052,-18.311,61.279
0.052,-0.282,1.156,10.803,-16.846,53.467
0.055,-0.364,1.218,17.151,-13.733,47.546
0.018,-0.401,1.257,16.235,-4.761,47.119
-0.005,-0.387,1.205,11.414,10.315,49.927
-0.004,-0.360,1.077,7.446,26.245,52.979
-0.014,-0.301,0.926,3.052,35.950,55.542
-0.018,-0.249,0.812,-0.061,37.659,56.458
-0.014,-0.209,0.747,-0.977,33.752,56.763
-0.013,-0.164,0.728,-0.549,27.222,56.152
-0.001,-0.125,0.741,0.122,21.790,53.406
0.013,-0.086,0.747,0.366,20.630,49.377
0.016,-0.057,0.741,1.526,21.667,44.373
0.007,-0.053,0.739,6.042,19.958,36.621
0.003,-0.072,0.727,13.000,13.916,27.588
0.009,-0.111,0.734,20.508,4.395,17.822
0.062,-0.171,0.782,26.123,-6.042,6.958
0.131,-0.236,0.836,27.039,-14.221,-2.075
0.175,-0.294,0.872,23.621,-19.043,-8.057
0.212,-0.325,0.901,15.442,-21.484,-9.583
0.251,-0.321,0.915,3.967,-20.996,-7.812
0.289,-0.315,0.912,-5.493,-17.395,-5.127
0.328,-0.313,0.892,-11.108,-11.475,-1.099
0.354,-0.300,0.853,-14.343,-5.859,5.127
0.349,-0.255,0.814,-16.174,-2.808,13.123
0.335,-0.205,0.794,-16.174,-2.380,19.043
0.322,-0.171,0.792,-12.817,-3.174,20.752
0.338,-0.150,0.798,-7.263,-4.150,19.165
0.386,-0.156,0.805,-0.916,-6.409,16.968
0.401,-0.172,0.820,4.211,-10.681,16.602
0.397,-0.173,0.846,5.859,-15.137,17.822
0.368,-0.157,0.878,4.028,-19.287,19.287
0.348,-0.137,0.917,1.465,-21.362,19.165
0.344,-0.129,0.955,0.061,-21.729,17.273
0.333,-0.161,0.991,0.000,-20.813,13.977
0.308,-0.200,1.001,-1.770,-18.250,11.658
0.286,-0.211,0.981,-5.432,-15.625,10.864
0.282,-0.202,0.960,-9.155,-14.893,9.644
0.273,-0.206,0.967,-10.071,-15.747,7.935
0.253,-0.208,0.987,-8.484,-15.381,6.531
0.243,-0.210,1.000,-4.700,-12.329,6.226
0.245,-0.207,1.006,-0.122,-7.751,6.470
0.248,-0.220,1.010,4.211,-3.723,5.798
0.248,-0.233,1.002,6.836,-0.916,4.578
0.264,-0.242,0.978,7.019,0.732,3.418
0.282,-0.255,0.944,5.615,-0.671,2.563
0.270,-0.251,0.927,1.648,-4.517,2.197
0.266,-0.244,0.926,-2.686,-8.301,1.831
0.265,-0.233,0.928,-5.554,-9.766,1.831
0.257,-0.222,0.930,-7.263,-9.644,1.831
0.255,-0.221,0.930,-7.446,-8.728,1.160
0.252,-0.219,0.918,-6.592,-6.897,0.671
0.256,-0.210,0.892,-4.578,-5.371,0.793
0.255,-0.209,0.867,-2.197,-6.348,0.366
0.247,-0.203,0.864,-0.488,-9.155,-0.244
0.253,-0.191,0.870,0.366,-11.047,-0.488
0.262,-0.174,0.872,0.732,-12.329,-0.366
0.254,-0.160,0.889,-0.366,-15.015,-0.183
0.240,-0.140,0.921,-2.502,-17.151,-0.549
0.232,-0.117,0.953,-4.272,-17.395,-0.427
0.220,-0.101,0.980,-4.822,-15.991,-0.488
0.216,-0.109,1.000,-3.662,-13.977,-1.709
0.207,-0.129,1.016,-2.136,-11.658,-4.150
0.204,-0.141,1.020,-1.526,-7.874,-6.592
0.226,-0.147,1.004,-0.122,-3.174,-8.606
0.248,-0.182,0.981,2.441,-1.648,-11.169
0.250,-0.218,0.965,4.883,-2.380,-12.573
0.242,-0.225,0.951,5.249,-3.052,-11.841
0.245,-0.220,0.927,5.859,-3.357,-10.986
0.246,-0.221,0.923,7.202,-4.150,-10.803
0.242,-0.230,0.939,7.996,-6.409,-11.292
0.239,-0.237,0.956,8.057,-7.996,-11.475
0.240,-0.233,0.970,7.629,-7.812,-11.353
0.235,-0.229,0.974,6.714,-5.920,-11.780
0.229,-0.235,0.959,6.165,-3.784,-12.939
0.228,-0.249,0.942,6.409,-2.563,-14.771
0.237,-0.263,0.942,5.798,-3.296,-15.808
0.242,-0.283,0.952,4.883,-5.310,-16.541
0.247,-0.302,0.970,4.089,-6.958,-16.785
0.248,-0.315,0.986,3.235,-7.874,-16.357
0.250,-0.316,0.998,2.502,-7.202,-14.709
0.252,-0.315,1.001,2.075,-6.042,-13.306
0.251,-0.305,0.998,1.770,-4.150,-11.841
0.249,-0.292,0.981,2.930,-1.953,-10.254
0.252,-0.282,0.961,4.578,-0.671,-9.766
0.249,-0.279,0.954,5.554,-0.977,-10.071
0.241,-0.273,0.966,5.493,-1.221,-10.071
0.242,-0.284,0.986,5.127,-1.282,-10.742
0.238,-0.289,0.990,3.967,-0.061,-11.169
0.243,-0.282,0.977,2.441,1.648,-10.925
0.248,-0.284,0.955,1.404,1.282,-11.292
0.248,-0.295,0.949,0.732,-1.038,-12.390
0.242,-0.302,0.958,-0.122,-2.808,-13.184
0.239,-0.304,0.964,-0.732,-2.869,-13.062
0.247,-0.327,0.961,-0.549,-2.014,-12.207
0.258,-0.351,0.957,-0.793,-1.099,-10.559
0.261,-0.354,0.945,-2.563,0.305,-7.874
0.256,-0.339,0.932,-4.272,1.648,-5.005
0.255,-0.315,0.912,-4.333,3.357,-2.625
0.258,-0.301,0.891,-2.563,4.333,-1.587
0.265,-0.299,0.880,-1.099,3.723,-1.221
0.256,-0.293,0.890,-1.221,1.892,-1.587
0.245,-0.282,0.910,-3.113,0.244,-1.282
0.241,-0.278,0.928,-4.333,-0.854,-1.648
0.240,-0.278,0.941,-5.798,-0.366,-3.052
0.247,-0.288,0.940,-6.226,1.160,-4.517
0.257,-0.306,0.925,-5.554,1.282,-5.432
0.261,-0.313,0.915,-5.615,-0.061,-5.249
0.255,-0.308,0.921,-6.226,-1.953,-5.066
0.253,-0.307,0.930,-5.493,-3.540,-5.432
0.250,-0.311,0.938,-3.906,-3.418,-5.615
0.250,-0.316,0.938,-1.831,-1.892,-5.249
0.252,-0.321,0.933,0.305,-0.671,-4.395
0.246,-0.323,0.926,1.709,0.000,-3.723
0.236,-0.326,0.922,2.625,0.366,-3.784
0.245,-0.324,0.903,3.479,0.244,-4.578
0.248,-0.341,0.896,5.493,-0.977,-5.615
0.260,-0.360,0.904,7.324,-3.418,-5.920
0.269,-0.377,0.922,8.240,-5.676,-5.066
0.262,-0.392,0.935,8.911,-6.470,-3.357
0.250,-0.392,0.944,7.935,-6.287,-1.343
0.245,-0.383,0.950,6.042,-5.615,0.427
0.245,-0.382,0.952,4.761,-4.089,1.526
