aX,aY,aZ,gX,gY,gZ
0.105,0.160,-1.318,7.324,-5.859,2.380
0.152,0.160,-1.171,15.869,-5.371,8.057
0.121,0.294,-1.122,23.132,-4.517,14.587
0.064,0.322,-1.142,16.663,-2.014,16.113
0.058,0.354,-1.147,11.963,-4.089,11.841
0.052,0.336,-1.131,7.446,-10.559,4.150
0.044,0.312,-1.112,1.587,-18.433,-2.930
0.063,0.264,-1.081,-4.578,-25.879,-8.728
0.113,0.158,-1.044,-9.155,-31.311,-12.878
0.106,0.160,-0.996,-12.085,-33.691,-10.925
0.052,0.261,-0.977,-13.855,-33.813,-7.141
-0.001,0.360,-0.945,-13.184,-34.607,-9.216
-0.027,0.408,-0.868,-10.925,-36.377,-19.714
-0.020,0.379,-0.786,-11.475,-36.987,-33.142
-0.017,0.285,-0.796,-16.479,-35.339,-44.189
0.051,0.151,-0.760,-27.771,-33.386,-49.622
0.094,0.162,-0.684,-37.354,-37.964,-46.936
0.080,0.236,-0.603,-50.293,-38.757,-39.307
-0.018,0.325,-0.675,-66.284,-34.241,-34.241
-0.117,0.428,-0.763,-74.768,-29.541,-39.001
-0.311,0.372,-0.876,-66.833,-26.794,-55.481
-0.272,0.479,-0.920,-42.725,-24.719,-78.613
-0.001,0.753,-0.678,-14.282,-20.691,-108.093
0.071,0.796,-0.418,2.930,-3.906,-150.146
-0.092,0.478,-0.467,-2.502,29.541,-193.237
-0.127,0.158,-0.604,-6.165,66.345,-218.140
-0.013,0.094,-0.822,11.780,98.267,-228.149
0.120,0.203,-0.979,30.212,122.131,-237.427
0.201,0.230,-1.090,28.259,138.123,-252.319
0.291,0.036,-1.286,13.977,148.743,-267.517
0.360,-0.223,-1.496,3.174,152.710,-274.841
0.417,-0.416,-1.590,-2.319,150.208,-271.912
0.427,-0.475,-1.569,-1.648,144.104,-265.015
0.347,-0.404,-1.587,-7.324,139.832,-261.475
0.285,-0.433,-1.733,-27.039,137.146,-266.296
0.293,-0.772,-1.983,-52.307,129.883,-278.931
0.500,-1.355,-2.239,-75.562,112.488,-289.307
0.838,-1.910,-2.339,-89.783,83.679,-286.011
1.131,-2.276,-2.246,-94.666,49.194,-262.817
1.332,-2.592,-2.135,-98.389,18.982,-224.121
1.500,-2.928,-1.980,-100.342,-4.395,-172.546
1.579,-3.152,-1.804,-93.567,-21.362,-107.544
1.502,-3.229,-1.570,-83.191,-28.931,-28.687
1.301,-3.164,-1.396,-74.158,-27.649,56.763
1.003,-2.980,-1.360,-77.209,-20.935,142.944
0.630,-2.746,-1.467,-92.957,-18.066,222.961
0.273,-2.553,-1.666,-109.619,-27.466,292.969
-0.059,-2.431,-1.863,-112.427,-48.889,355.957
-0.437,-2.251,-1.846,-96.741,-73.242,421.143
-0.886,-2.067,-1.687,-72.388,-88.684,487.000
-1.372,-1.796,-1.549,-46.936,-88.989,543.518
-1.894,-1.481,-1.405,-17.212,-80.505,579.407
-2.276,-1.344,-1.203,11.841,-74.036,582.214
-2.606,-1.254,-0.957,35.400,-66.895,566.101
-2.915,-1.229,-0.788,51.147,-55.115,552.856
-3.178,-1.168,-0.741,60.242,-39.063,556.396
-3.424,-0.932,-0.689,70.435,-22.034,573.669
-3.709,-0.471,-0.617,86.487,-5.554,588.623
-3.918,0.096,-0.523,110.962,11.414,581.360
-3.923,0.829,-0.335,147.827,31.128,544.312
-3.697,1.510,-0.025,191.284,57.068,479.309
-3.360,2.047,0.269,225.891,91.187,393.982
-2.990,2.448,0.492,239.075,125.610,296.936
-2.621,2.687,0.479,217.285,152.344,201.111
-2.296,2.598,0.203,152.710,160.950,107.605
-1.995,2.293,-0.383,54.016,144.592,19.470
-1.631,1.720,-0.954,-55.298,95.215,-64.758
-1.225,1.023,-1.350,-152.649,12.207,-134.949
-0.855,0.407,-1.477,-216.675,-78.552,-177.307
-0.554,-0.002,-1.269,-228.149,-158.752,-193.176
-0.364,-0.180,-0.887,-196.533,-208.191,-188.049
-0.305,-0.229,-0.600,-149.292,-218.384,-170.349
-0.169,-0.275,-0.312,-106.750,-199.341,-150.085
-0.077,-0.323,-0.213,-75.012,-155.334,-129.883
-0.028,-0.321,-0.253,-43.274,-99.915,-112.549
-0.024,-0.263,-0.344,-10.803,-51.758,-99.243
-0.015,-0.188,-0.454,9.033,-17.456,-87.158
0.007,-0.153,-0.574,15.198,1.648,-77.209
0.039,-0.140,-0.658,14.771,7.385,-70.435
0.086,-0.136,-0.681,13.550,3.357,-66.406
0.141,-0.134,-0.663,12.817,-4.089,-63.843
0.186,-0.129,-0.628,11.475,-10.132,-61.401
0.212,-0.134,-0.619,6.897,-13.184,-58.289
0.240,-0.137,-0.621,-0.122,-12.756,-54.565
0.282,-0.131,-0.645,-7.080,-9.705,-50.537
0.314,-0.166,-0.749,-13.916,-4.700,-46.509
0.351,-0.219,-0.887,-22.095,0.183,-40.344
0.393,-0.230,-1.012,-26.550,2.808,-31.860
0.382,-0.246,-1.106,-24.475,2.808,-21.118
0.348,-0.235,-1.145,-16.785,1.282,-9.399
0.304,-0.180,-1.130,-3.296,-0.427,0.916
0.255,-0.122,-1.080,10.559,0.366,9.399
0.209,-0.047,-1.019,22.339,4.089,15.808
0.144,0.020,-0.949,29.602,8.789,19.958
0.078,0.104,-0.892,29.480,12.451,22.339
0.019,0.177,-0.898,21.057,14.343,22.461
-0.041,0.203,-0.950,7.202,13.367,19.653
-0.093,0.207,-1.010,-3.723,8.362,15.076
-0.139,0.221,-1.061,-10.925,1.465,9.766
-0.163,0.221,-1.118,-14.465,-4.639,1.953
-0.138,0.198,-1.137,-11.169,-9.460,-8.545
-0.093,0.156,-1.104,-0.427,-12.085,-21.851
-0.043,0.129,-1.036,12.695,-11.108,-34.241
-0.019,0.075,-0.981,22.461,-7.202,-41.565
-0.017,0.000,-0.947,23.682,-3.235,-43.457
-0.029,-0.038,-0.959,18.188,-0.793,-40.039
-0.039,-0.022,-1.003,8.972,-0.549,-33.875
-0.028,0.019,-1.059,0.366,-2.441,-29.053
-0.008,0.036,-1.094,-2.563,-5.920,-30.029
0.004,0.030,-1.095,1.831,-10.010,-36.072
0.015,0.007,-1.080,10.620,-13.306,-43.762
0.037,-0.032,-1.035,21.667,-14.709,-49.194
0.062,-0.106,-0.986,33.936,-13.672,-50.720
0.121,-0.149,-0.892,44.739,-10.498,-46.204
0.149,-0.103,-0.775,50.537,-5.310,-35.339
0.114,-0.065,-0.712,47.424,1.221,-21.179
0.064,-0.008,-0.691,36.743,7.690,-6.714
0.026,0.078,-0.724,23.193,12.573,4.456
0.004,0.145,-0.817,10.315,15.442,8.301
-0.007,0.130,-0.935,0.549,15.869,3.357
0.050,0.095,-0.995,-0.305,13.550,-5.066
0.164,0.132,-0.973,7.629,9.766,-13.245
0.234,0.138,-0.931,13.916,6.042,-19.226
0.237,0.088,-0.896,12.451,1.343,-21.118
0.210,0.053,-0.848,6.897,-4.395,-18.005
0.176,0.033,-0.797,1.465,-9.583,-13.733
0.163,0.023,-0.769,-1.953,-11.047,-11.658
0.189,0.045,-0.768,-5.127,-7.629,-13.489
0.241,0.041,-0.834,-7.019,-1.221,-19.470
0.317,-0.012,-0.937,-6.226,5.615,-27.039
0.385,-0.085,-1.024,-1.648,10.437,-31.738
0.442,-0.138,-1.057,4.883,12.451,-31.250
0.458,-0.151,-1.025,11.536,11.841,-25.574
0.455,-0.100,-0.959,17.273,10.498,-17.456
0.460,0.027,-0.890,20.203,9.766,-9.094
0.453,0.108,-0.860,20.325,10.559,-3.967
0.431,0.091,-0.843,15.442,11.108,-1.038
0.384,0.108,-0.850,2.869,10.681,2.014
0.339,0.174,-0.892,-15.930,9.277,2.991
0.320,0.206,-0.956,-34.424,6.104,-1.587
0.333,0.145,-1.029,-48.889,1.648,-10.010
0.375,0.040,-1.096,-57.678,-2.808,-18.616
0.421,0.005,-1.107,-59.204,-6.714,-22.156
0.351,0.067,-0.974,-49.194,-7.935,-21.057
0.417,-0.033,-0.934,-25.208,-2.441,-18.250
0.554,-0.096,-0.962,-17.395,8.972,-10.315
0.562,-0.099,-0.975,-25.024,20.569,-0.610
0.507,-0.089,-0.993,-17.578,29.358,9.705
0.437,-0.030,-0.995,-12.085,35.828,19.226

0.110,0.197,-0.959,10.437,2.930,4.150
0.106,0.172,-0.846,17.517,8.789,0.671
0.096,0.126,-0.826,18.188,18.677,-0.488
0.101,0.099,-0.797,15.442,32.959,2.258
0.116,0.102,-0.828,17.883,50.720,5.981
0.154,0.119,-0.883,20.630,69.580,9.827
0.211,0.138,-0.913,22.522,85.388,12.634
0.311,0.234,-0.950,23.499,95.764,13.184
0.426,0.385,-0.997,20.203,102.051,9.766
0.560,0.626,-1.044,19.287,109.436,-0.122
0.715,0.691,-1.205,20.996,122.559,-20.447
0.989,0.623,-1.452,29.480,138.611,-49.438
1.271,0.525,-1.683,43.457,152.466,-74.768
1.523,0.367,-1.936,61.768,162.720,-93.872
1.679,0.070,-2.322,84.717,166.626,-107.605
1.679,-0.198,-2.678,110.840,155.518,-106.873
1.692,-0.310,-2.811,126.343,122.498,-84.045
1.799,-0.043,-2.788,110.657,76.538,-42.175
1.475,0.199,-2.717,44.495,27.100,-2.808
1.458,0.184,-2.421,-36.255,-27.649,17.822
1.244,0.246,-2.266,-90.820,-75.928,22.888
0.935,0.027,-2.162,-126.465,-115.479,24.780
0.706,-0.176,-2.007,-127.991,-145.447,35.095
0.481,-0.121,-1.650,-86.853,-159.790,51.697
0.199,0.068,-1.173,-29.724,-150.513,67.383
-0.162,0.267,-0.742,9.705,-118.103,75.867
-0.537,0.417,-0.553,21.606,-74.341,75.684
-0.752,0.465,-0.521,12.939,-40.100,63.660
