aX,aY,aZ,gX,gY,gZ
0.154,0.522,-0.931,18.494,0.427,10.742
0.221,0.540,-0.739,21.912,0.977,16.418
0.217,0.614,-0.745,21.423,2.930,20.935
0.173,0.598,-0.820,12.756,4.700,23.926
0.187,0.582,-0.882,8.667,2.869,25.330
0.196,0.605,-0.858,10.315,-1.526,26.245
0.179,0.629,-0.832,11.902,-4.395,26.978
0.169,0.663,-0.824,12.024,-6.287,26.062
0.156,0.664,-0.784,12.146,-7.874,22.522
0.165,0.645,-0.714,10.376,-9.521,18.188
0.168,0.615,-0.724,1.038,-11.414,15.930
0.171,0.644,-0.808,-11.780,-15.259,17.029
0.140,0.711,-0.808,-17.700,-20.630,18.005
0.118,0.807,-0.778,-16.541,-22.278,14.587
0.104,0.849,-0.742,-11.963,-18.372,7.019
0.073,0.884,-0.655,-4.211,-10.559,-1.648
0.032,0.937,-0.603,2.319,-0.549,-8.789
-0.008,0.981,-0.624,7.996,11.353,-15.076
-0.073,1.036,-0.593,16.724,22.217,-19.958
-0.165,1.133,-0.548,24.841,32.043,-22.583
-0.279,1.281,-0.514,27.405,40.344,-24.719
-0.349,1.452,-0.378,23.682,45.837,-29.114
-0.525,1.533,-0.544,16.785,50.659,-37.842
-0.574,1.561,-0.565,6.470,46.204,-52.368
-0.584,1.612,-0.507,3.723,39.673,-70.923
-0.609,1.606,-0.458,-1.892,36.133,-92.346
-0.605,1.566,-0.438,-11.475,36.377,-114.319
-0.595,1.489,-0.487,-19.348,39.856,-135.925
-0.568,1.372,-0.540,-20.935,45.288,-157.104
-0.534,1.235,-0.598,-18.005,53.467,-176.453
-0.499,1.094,-0.567,-10.010,63.599,-193.787
-0.460,0.982,-0.586,-0.061,75.989,-209.045
-0.417,0.898,-0.603,7.019,88.623,-221.619
-0.372,0.795,-0.621,12.207,97.778,-233.765
-0.314,0.672,-0.613,16.663,103.027,-244.873
-0.266,0.569,-0.573,19.165,105.896,-251.343
-0.240,0.527,-0.534,17.639,108.337,-252.441
-0.252,0.536,-0.520,13.367,110.596,-250.183
-0.300,0.575,-0.525,7.507,113.037,-247.864
-0.357,0.589,-0.566,-0.061,115.723,-248.230
-0.424,0.577,-0.603,-7.751,118.408,-253.235
-0.500,0.548,-0.632,-14.099,120.544,-262.146
-0.559,0.500,-0.639,-21.301,120.483,-274.963
-0.598,0.440,-0.626,-28.931,118.591,-290.649
-0.644,0.356,-0.621,-37.170,115.906,-306.824
-0.673,0.260,-0.591,-44.434,112.549,-322.083
-0.716,0.163,-0.602,-53.955,110.596,-334.473
-0.760,0.062,-0.711,-68.237,111.450,-343.567
-0.784,-0.076,-0.838,-82.214,112.671,-350.342
