aX,aY,aZ,gX,gY,gZ
0.511,0.202,-1.125,16.418,-0.305,10.803
0.499,0.257,-1.064,13.367,-4.578,15.869
0.549,0.312,-1.036,14.709,-7.202,13.672
0.524,0.252,-1.023,11.414,-6.897,9.094
0.507,0.156,-1.021,4.517,-7.202,8.179
0.521,0.097,-1.017,2.136,-9.277,9.888
0.525,0.065,-0.987,1.099,-11.719,13.672
0.505,0.072,-0.940,-2.319,-13.428,19.714
0.493,0.072,-0.892,-9.155,-14.282,25.269
0.468,0.071,-0.855,-19.348,-14.465,29.175
0.437,0.046,-0.873,-31.677,-12.329,32.410
0.401,0.039,-0.849,-39.246,-8.972,34.790
0.404,0.028,-0.796,-40.527,-2.930,34.485
0.404,-0.032,-0.754,-39.490,7.141,31.860
0.345,-0.138,-0.753,-37.048,18.982,29.907
0.315,-0.241,-0.714,-31.372,27.832,30.884
0.227,-0.418,-0.854,-28.259,33.569,37.231
0.269,-0.468,-0.895,-16.785,32.288,49.500
0.338,-0.436,-0.904,-10.315,25.146,64.026
0.335,-0.347,-0.921,-13.611,16.235,76.965
0.276,-0.233,-0.942,-24.048,7.080,86.243
0.219,-0.160,-0.940,-34.851,-1.709,89.417
0.199,-0.173,-0.976,-41.260,-8.057,86.792
0.182,-0.208,-1.012,-41.565,-11.230,81.177
0.248,-0.269,-1.012,-33.813,-10.681,74.097
0.291,-0.330,-0.977,-28.870,-5.859,66.956
0.283,-0.338,-0.990,-24.719,2.686,63.782
0.260,-0.335,-1.034,-20.508,12.756,64.392
0.275,-0.371,-1.072,-19.958,20.203,69.214
0.290,-0.396,-1.118,-20.874,24.048,76.965
0.286,-0.380,-1.175,-21.912,23.987,86.853
0.273,-0.372,-1.240,-23.926,19.958,98.389
0.257,-0.372,-1.259,-26.123,12.024,110.779
0.238,-0.364,-1.251,-26.123,2.991,122.925
0.223,-0.359,-1.222,-24.170,-4.089,134.705
0.206,-0.337,-1.203,-21.301,-7.751,145.325
0.177,-0.304,-1.180,-19.226,-8.789,153.625
0.133,-0.252,-1.173,-17.578,-8.545,159.668
0.102,-0.221,-1.195,-17.761,-8.545,162.476
0.079,-0.219,-1.219,-19.165,-10.254,163.818
0.042,-0.203,-1.226,-18.982,-14.587,164.856
0.013,-0.182,-1.235,-18.982,-20.813,166.016
-0.016,-0.165,-1.232,-19.104,-27.466,168.701
-0.053,-0.144,-1.229,-17.883,-32.776,173.584
-0.076,-0.123,-1.233,-15.747,-35.583,179.749
-0.111,-0.091,-1.220,-13.367,-36.377,186.523
-0.162,-0.032,-1.201,-10.315,-36.560,191.650
-0.203,0.038,-1.187,-8.667,-37.842,193.970
-0.221,0.095,-1.178,-8.789,-40.466,193.970
-0.231,0.128,-1.188,-9.827,-44.617,191.772
-0.225,0.130,-1.193,-11.353,-50.110,188.110
-0.233,0.125,-1.180,-9.949,-55.542,185.120
-0.261,0.132,-1.122,-5.005,-59.265,184.570
-0.277,0.190,-1.082,0.610,-59.021,186.157
-0.279,0.239,-1.080,4.150,-55.054,188.416
-0.289,0.274,-1.088,7.751,-50.232,188.843
-0.312,0.305,-1.093,13.245,-46.814,187.988
-0.330,0.349,-1.079,20.264,-45.288,185.913
-0.334,0.383,-1.070,25.513,-45.654,182.495
-0.345,0.394,-1.042,29.236,-46.997,178.406
-0.363,0.415,-1.014,33.264,-49.561,174.622
-0.380,0.440,-0.954,37.109,-52.917,170.715
-0.389,0.472,-0.901,39.978,-55.908,167.725
-0.388,0.499,-0.864,40.466,-57.678,165.283
-0.389,0.500,-0.819,40.710,-57.617,163.330
-0.394,0.524,-0.769,43.274,-56.274,161.682
-0.391,0.555,-0.734,46.875,-53.467,159.607
-0.377,0.591,-0.686,49.988,-49.683,156.799
-0.362,0.627,-0.674,52.124,-44.983,153.198
-0.351,0.612,-0.686,52.551,-40.039,149.170
-0.354,0.596,-0.679,54.932,-35.889,146.057
-0.359,0.618,-0.672,58.594,-32.043,144.287
-0.363,0.644,-0.674,60.730,-28.564,143.250
-0.371,0.683,-0.668,60.730,-27.039,142.273
-0.381,0.724,-0.668,59.570,-27.283,141.052
-0.385,0.768,-0.660,55.969,-29.236,139.526
-0.391,0.802,-0.634,51.636,-32.776,136.047
-0.405,0.837,-0.594,46.875,-36.499,130.859
-0.415,0.878,-0.556,42.175,-39.001,124.695
-0.414,0.905,-0.535,38.025,-39.063,118.652
-0.415,0.932,-0.500,36.133,-36.621,113.342
-0.417,0.977,-0.473,35.217,-31.616,108.215
