aX,aY,aZ,gX,gY,gZ
0.372,-0.561,-0.220,-10.620,-3.113,35.950
0.384,-0.557,-0.133,-14.526,-3.357,41.199
0.354,-0.364,0.019,-11.902,-1.709,43.823
0.233,-0.343,0.061,-19.287,13.367,41.504
0.217,-0.354,0.063,-21.118,29.907,33.020
0.236,-0.419,-0.028,-9.705,46.143,20.752
0.236,-0.473,-0.084,7.324,57.068,11.719
0.194,-0.421,-0.015,26.001,61.768,7.874
0.152,-0.388,0.106,39.612,66.162,3.113
0.120,-0.421,0.205,46.814,74.646,-3.235
0.083,-0.442,0.230,44.678,85.144,-6.165
0.015,-0.407,0.238,34.790,93.018,-5.554
-0.065,-0.318,0.266,22.705,98.938,-5.615
-0.127,-0.233,0.283,13.916,106.140,-10.010
-0.166,-0.198,0.283,12.573,116.638,-19.714
-0.174,-0.202,0.270,20.935,130.798,-31.067
-0.173,-0.218,0.235,37.964,148.193,-40.771
-0.165,-0.190,0.225,58.838,167.419,-47.363
-0.178,-0.263,0.156,75.806,185.974,-49.683
-0.170,-0.265,0.119,91.492,200.134,-47.546
-0.169,-0.262,0.114,104.004,212.891,-42.419
-0.214,-0.236,0.133,108.948,224.792,-36.682
-0.293,-0.186,0.143,105.225,237.366,-31.738
-0.415,-0.173,0.112,92.468,250.732,-30.273
-0.451,-0.151,0.041,73.975,264.099,-33.081
-0.460,-0.174,-0.032,53.772,275.696,-40.833
-0.477,-0.246,-0.137,31.860,285.828,-51.514
-0.495,-0.315,-0.260,10.803,295.044,-60.913
-0.481,-0.390,-0.457,-6.226,305.176,-66.772
-0.468,-0.447,-0.641,-20.264,313.538,-67.444
-0.471,-0.479,-0.806,-28.320,317.017,-63.293
-0.477,-0.465,-0.932,-32.593,316.956,-57.251
-0.489,-0.447,-1.100,-30.884,316.284,-51.819
-0.516,-0.371,-1.229,-25.330,311.584,-46.021
-0.550,-0.374,-1.416,-22.583,306.396,-45.044
-0.585,-0.430,-1.670,-18.616,299.744,-49.072
-0.574,-0.550,-1.995,-13.428,288.513,-55.237
-0.519,-0.757,-2.339,-4.517,271.545,-61.340
-0.432,-0.929,-2.507,21.362,245.300,-61.340
-0.326,-1.074,-2.544,58.594,217.896,-52.979
-0.251,-1.190,-2.506,95.032,193.909,-37.231
-0.235,-1.261,-2.474,124.634,173.035,-15.564
-0.238,-1.312,-2.472,142.151,154.297,9.155
-0.249,-1.329,-2.479,146.729,134.766,34.912
-0.247,-1.306,-2.496,138.672,114.075,59.998
-0.253,-1.253,-2.533,118.896,91.614,83.313
-0.269,-1.211,-2.598,93.445,66.772,103.394
-0.284,-1.160,-2.657,69.031,39.368,120.850
-0.322,-1.091,-2.688,52.002,11.292,135.437
-0.345,-1.009,-2.699,43.823,-14.709,145.630
-0.349,-0.954,-2.700,45.837,-38.879,150.146
-0.339,-0.942,-2.686,60.486,-61.523,149.231
-0.312,-0.964,-2.614,86.487,-82.703,145.142
-0.274,-0.995,-2.485,122.620,-101.990,140.198
-0.248,-1.038,-2.334,162.109,-118.530,136.292
-0.212,-1.076,-2.185,194.885,-131.836,135.925
-0.195,-1.066,-2.014,220.764,-143.433,139.893
-0.207,-1.012,-1.832,240.234,-153.503,144.897
-0.229,-0.932,-1.672,250.793,-162.109,148.193
-0.231,-0.861,-1.577,250.000,-169.250,148.987
-0.219,-0.803,-1.532,235.474,-176.270,147.888
-0.202,-0.718,-1.503,216.003,-185.303,146.118
-0.191,-0.641,-1.462,198.853,-196.655,142.578
-0.179,-0.581,-1.405,183.105,-208.862,138.367
-0.165,-0.531,-1.347,170.105,-220.398,134.705
-0.135,-0.519,-1.299,158.691,-231.262,131.470
-0.106,-0.494,-1.214,149.109,-241.638,130.249
-0.106,-0.444,-1.120,145.081,-249.695,130.554
-0.093,-0.389,-1.026,142.578,-254.639,132.751
-0.057,-0.356,-0.966,138.977,-257.141,135.803
-0.023,-0.351,-0.910,134.277,-258.606,139.587
-0.015,-0.326,-0.835,131.348,-259.705,143.677
-0.027,-0.265,-0.727,131.592,-260.864,148.132
-0.029,-0.181,-0.593,133.423,-260.864,152.893
-0.023,-0.099,-0.486,134.521,-257.629,156.921
-0.017,-0.029,-0.396,133.118,-251.709,158.752
-0.027,0.030,-0.316,130.859,-243.469,158.691
-0.035,0.101,-0.232,129.517,-233.948,156.433
-0.038,0.184,-0.151,128.357,-223.450,152.710
-0.043,0.257,-0.076,126.892,-211.792,147.095
-0.048,0.334,-0.021,124.817,-199.158,140.259
-0.042,0.388,0.017,120.300,-186.096,132.935
-0.032,0.412,0.047,116.516,-173.767,125.854
-0.020,0.442,0.106,114.502,-161.743,119.568
0.000,0.475,0.164,112.854,-148.804,115.295
0.011,0.502,0.210,109.680,-133.423,113.159
0.019,0.519,0.235,104.431,-116.333,112.793
0.022,0.548,0.256,101.563,-98.328,113.464
0.016,0.584,0.274,103.149,-80.322,113.831
-0.008,0.618,0.298,107.483,-63.171,112.732
-0.032,0.655,0.341,114.197,-46.021,111.145
-0.058,0.696,0.386,122.131,-28.625,108.643
-0.087,0.721,0.429,128.967,-11.169,105.164
-0.123,0.733,0.468,134.460,5.676,101.135
-0.161,0.770,0.524,138.977,21.973,97.046
-0.199,0.832,0.589,140.686,37.598,92.041
-0.232,0.893,0.658,137.634,52.917,85.205
-0.272,0.947,0.708,129.272,67.566,75.134
-0.286,0.936,0.699,118.591,81.543,63.049
-0.367,0.990,0.809,112.427,93.567,51.697
-0.428,1.112,0.880,96.130,107.117,38.208
-0.430,1.118,0.895,67.078,123.230,19.592
-0.460,1.085,0.867,39.429,140.625,1.282
-0.489,1.052,0.793,12.207,158.997,-15.198
-0.498,1.006,0.716,-11.536,177.673,-31.921
-0.504,0.955,0.632,-31.738,196.045,-46.692
-0.518,0.931,0.554,-49.988,212.830,-59.021
-0.541,0.908,0.471,-67.200,227.661,-70.374
-0.569,0.880,0.386,-84.167,240.845,-82.458
-0.596,0.842,0.328,-100.464,252.319,-95.947
-0.625,0.789,0.265,-117.493,263.672,-109.985
-0.647,0.720,0.152,-137.268,274.292,-123.596
-0.671,0.631,0.039,-156.616,282.654,-135.803
-0.709,0.540,-0.030,-170.593,288.391,-148.010
-0.748,0.476,-0.091,-181.702,292.786,-160.278
-0.780,0.413,-0.179,-194.641,297.180,-172.119
-0.834,0.347,-0.301,-208.008,300.415,-183.411
-0.881,0.286,-0.441,-217.957,300.110,-194.885
-0.923,0.206,-0.569,-223.999,296.753,-206.177
-0.946,0.126,-0.719,-228.455,291.077,-217.163
-0.950,0.002,-0.878,-233.032,283.447,-228.149
-0.937,-0.146,-1.040,-235.229,273.315,-239.746
-0.875,-0.389,-1.219,-237.061,261.047,-251.953
-0.736,-0.674,-1.466,-241.638,246.033,-262.329
-0.556,-0.929,-1.702,-238.892,225.769,-270.935
-0.375,-1.180,-1.886,-229.065,199.463,-277.649
